Opponnent,Winner
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Rock,Paper
Paper,Scissors
Scissors,Rock
Spock,Lizard
Spock,Paper
Lizard,Rock
Lizard,Scissors
Paper,Lizard
Scissors,Spock
Spock,Lizard
Spock,Paper
Lizard,Rock
Lizard,Scissors
Paper,Lizard
Scissors,Spock
Spock,Lizard
Spock,Paper
Lizard,Rock
Lizard,Scissors
Paper,Lizard
Scissors,Spock
Spock,Lizard
Spock,Paper
Lizard,Rock
Lizard,Scissors
Paper,Lizard
Scissors,Spock
Spock,Lizard
Spock,Paper
Lizard,Rock
Lizard,Scissors
Paper,Lizard
Scissors,Spock
Spock,Lizard
Spock,Paper
Lizard,Rock
Lizard,Scissors
Paper,Lizard
Scissors,Spock
Spock,Lizard
Spock,Paper
Lizard,Rock
Lizard,Scissors
Paper,Lizard
Scissors,Spock
Spock,Lizard
Spock,Paper
Lizard,Rock
Lizard,Scissors
Paper,Lizard
Scissors,Spock
Spock,Lizard
Spock,Paper
Lizard,Rock
Lizard,Scissors
Paper,Lizard
Scissors,Spock
Spock,Lizard
Spock,Paper
Lizard,Rock
Lizard,Scissors
Paper,Lizard
Scissors,Spock
Spock,Lizard
Spock,Paper
Lizard,Rock
Lizard,Scissors
Paper,Lizard
Scissors,Spock
Spock,Lizard
Spock,Paper
Lizard,Rock
Lizard,Scissors
Paper,Lizard
Scissors,Spock
